title,location,url
"Value Senior Advisor-Procurement & Spend Transformation, Korea","Seoul, KR, 07326",https://jobs.sap.com/job/Seoul-Value-Senior-Advisor-Procurement-&-Spend-Transformation%2C-Korea-07326/1261423501/
Solution Sales Expert - Supply Chain Management - Business Network (Southwest),"Allen, TX, US, 75013",https://jobs.sap.com/job/Allen-Solution-Sales-Expert-Supply-Chain-Management-Business-Network-%28Southwest%29-TX-75013/1282557801/
Solution Sales Expert - Supply Chain Management - Business Network (West),"Palo Alto, CA, US, 94304",https://jobs.sap.com/job/Palo-Alto-Solution-Sales-Expert-Supply-Chain-Management-Business-Network-%28West%29-CA-94304/1281605501/
Solution Sales Expert - Supply Chain Management - Business Network (West),"Palo Alto, CA, US, 94304",https://jobs.sap.com/job/Palo-Alto-Solution-Sales-Expert-Supply-Chain-Management-Business-Network-%28West%29-CA-94304/1281605201/
Partner Business Manager,"Bangkok, TH, 10500",https://jobs.sap.com/job/Bangkok-Partner-Business-Manager-10500/1279352701/
SAP Business Data Cloud Sales Specialist,"Machelen, BE, 1831",https://jobs.sap.com/job/Machelen-SAP-Business-Data-Cloud-Sales-Specialist-1831/1262544101/
Senior Sales Account Executive,"Las Condes, CL, 7560968",https://jobs.sap.com/job/Las-Condes-Senior-Sales-Account-Executive-7560968/1260544201/
Value Advisor Expert,"'s-Hertogenbosch, NL, 5232  BE",https://jobs.sap.com/job/&apos;s-Hertogenbosch-Value-Advisor-Expert-5232-BE/1248654301/
Partner Ecosystem Engagement: Senior Ecosystem Development Manager,"Tokyo, Tokyo, JP, 100-0004",https://jobs.sap.com/job/Tokyo-Partner-Ecosystem-Engagement-Senior-Ecosystem-Development-Manager-Toky-100-0004/1281227201/
Corporate Account Sales Manager,"Kuala Lumpur, MY, 59200",https://jobs.sap.com/job/Kuala-Lumpur-Corporate-Account-Sales-Manager-59200/1247111501/
Senior SAP Business Data Cloud Analytics Consultant,"Budapest, HU, 1031",https://jobs.sap.com/job/Budapest-Senior-SAP-Business-Data-Cloud-Analytics-Consultant-1031/1281724501/
Enterprise Architecture Expert - RISE,"Budapest, HU, 1031",https://jobs.sap.com/job/Budapest-Enterprise-Architecture-Expert-RISE-1031/1224769201/
Principal Enterprise Architect - RISE - New Zealand,"Wellington, NZ, 6011",https://jobs.sap.com/job/Wellington-Principal-Enterprise-Architect-RISE-New-Zealand-6011/1262289101/
RISE Enterprise Architect - Driving Adoption and Business Outcomes,"Espoo, FI, 02150",https://jobs.sap.com/job/Espoo-RISE-Enterprise-Architect-Driving-Adoption-and-Business-Outcomes-02150/1270766901/
Business Processes Senior Consultant - SAP ACM,"Bangalore, IN, 560103",https://jobs.sap.com/job/Bangalore-Business-Processes-Senior-Consultant-SAP-ACM-560103/1280801701/
Partner Ecosystem Engagement: Senior Ecosystem Development Manager,"Tokyo, Tokyo, JP, 100-0004",https://jobs.sap.com/job/Tokyo-Partner-Ecosystem-Engagement-Senior-Ecosystem-Development-Manager-Toky-100-0004/1281227701/
Business Processes Consultant - SAP Agribusiness Consumer Industry,"Bangalore, IN, 560103",https://jobs.sap.com/job/Bangalore-Business-Processes-Consultant-SAP-Agribusiness-Consumer-Industry-560103/1280801801/
"Commercial Business Partner, Sweden","Stockholm, SE, 111 34",https://jobs.sap.com/job/Stockholm-Commercial-Business-Partner%2C-Sweden-111-34/1277725301/
Business Analyst for SAP Signavio & SAP LeanIX (limited full-time),"Bucharest, RO, 0030144",https://jobs.sap.com/job/Bucharest-Business-Analyst-for-SAP-Signavio-&-SAP-LeanIX-%28limited-full-time%29-0030144/1240258801/
Principal Enterprise Architect - RISE,"Belgrade, RS, 11070",https://jobs.sap.com/job/Belgrade-Principal-Enterprise-Architect-RISE-11070/1245382201/
SAP SuccessFactors - Customer Success Manager Expert,"North Sydney, NSW, AU, 2060",https://jobs.sap.com/job/North-Sydney-SAP-SuccessFactors-Customer-Success-Manager-Expert-NSW-2060/1282678201/
Senior Business Process Consultant - SAP Business Data Cloud (Brisbane),"Queensland, AU, 4000",https://jobs.sap.com/job/Queensland-Senior-Business-Process-Consultant-SAP-Business-Data-Cloud-%28Brisbane%29-4000/1268411801/
Architecture Advisor Expert (f/m/d) Consumer Industries - Process- and Life Science Industries,"Walldorf, DE, 69190",https://jobs.sap.com/job/Walldorf-Architecture-Advisor-Expert-%28fmd%29-Consumer-Industries-Process-and-Life-Science-Industries-69190/1277890701/
"Solution Advisor Senior Specialist-SAP BTP/BDC, South Korea","Seoul, KR, 07326",https://jobs.sap.com/job/Seoul-Solution-Advisor-Senior-Specialist-SAP-BTPBDC%2C-South-Korea-07326/1280071801/
"Senior Solution Advisor, SAP Integrated Business Planning (f/m/d)","Vienna, AT, 1021",https://jobs.sap.com/job/Vienna-Senior-Solution-Advisor%2C-SAP-Integrated-Business-Planning-%28fmd%29-1021/1276742801/
